稲,禾日
銅,釒同冂一口
徳,彳十罒心
読,言売士冖儿
認,言忍刃心丶刀
髪,髟镸彡友𠂇又
鼻,自畀田丌
複,衤复𠂉日夂
聞,門耳
暮,莫艹旲日
僕,亻菐业䒑夫二人
鳴,口鳥
綿,糸幺小帛白巾丿日
模,木莫艹旲
様,木𣴎𦍌水丷王
踊,⻊甬龴用
領,令亼卩人一頁自八
緑,糸幺小录彐氺
歴,木日止
練,糸幺小東束一木口
遺,⻌貴貝中一目八
影,景日京亠口小彡
鋭,釒兑丷兄儿口
横,木黄龷由八十囗
億,亻意音心立日
課,訁亖口果田木
確,石隹
器,口大
緊,糸幺小臤臣又
劇,豦虍豕刂
潔,氵絜㓞糸丰刀幺小
権,木𠂉一隹
賛,貝目八夫二人
質,貝目八斤
趣,走土龰取又耳
熟,火八人孰享丸古子十口丶九
諸,訁亖口者老日耂匕
賞,貝目八尚小冋冂口
震,雨辰
線,糸幺小泉水白丿日
選,⻌巽己共龷八
蔵,茂艹戊丿戈弋臣
誰,言隹
誕,訁亖口延廴正一止
談,火八人訁亖口
駐,馬三丨灬主丶王
潮,氵朝龺月十日
調,言周口冂𠮷土
敵,啇亠丷冂古十口攵
導,道辶首䒑自寸
熱,埶坴丸圥土丶九灬
輩,非車
箱,⺮相木目
範,⺮車㔾
標,木票覀示二小
膚,虍胃田月
舞,𠂉卌一舛夕㐄
編,糸幺小扁戶冊
暴,日共龷八氺
養,𦍌丷王食人良丶艮
寮,宀尞昚小
輪,車侖亼冊人一
論,言侖亼冊人一
衛,行彳亍一丁韋
壊,土十罒衣亠𧘇
館,飠官宀㠯
機,木幾幺戈人弋丿
橋,木喬夭口冋冂
激,氵敫白方攵丿日丶万
憲,罒心宀口
賢,臤臣又貝目八
興,臼同冂一口ハ
鋼,釒岡冂䒑山
樹,木尌壴寸士豆一口䒑
縦,糸幺小従彳䒑龰
親,亲立木見目儿
整,正一止敕束攵木口
積,禾責龶貝目八
操,扌喿木品口
築,⺮筑𥫗巩
糖,米唐广肀口丶厂
頭,豆一口䒑頁自八
曇,日雲雨云二厶
燃,火八人然肰⺼犬大丶
濃,⺡農曲辰曰囗一
薄,艹溥氵尃甫寸
避,辶辟𡰪辛立十
奮,奞大隹田
磨,麻广林丶厂木石
薬,艹楽木白丿日
輸,車俞亼刖人一月刂
頼,束木口頁一自八
隣,⻖粦米舛夕㐄
録,金录彐氺
